iter	RMSE
0	1784.116378
1	1735.530032
2	1691.512134
3	1654.510697
4	1627.385604
5	1596.738286
6	1572.547655
7	1552.490814
8	1533.74945
9	1526.072397
10	1518.281678
11	1504.149733
12	1498.491019
13	1494.006333
14	1488.683346
15	1475.248856
16	1470.454004
17	1457.087639
18	1451.614982
19	1447.070163
20	1443.049456
21	1430.456899
22	1426.51756
23	1422.662751
24	1419.380898
25	1407.125293
26	1403.351711
27	1399.213819
28	1393.823178
29	1385.76958
30	1381.717371
31	1379.25172
32	1376.317441
33	1364.487981
34	1362.546558
35	1360.207998
36	1353.360106
37	1347.296925
38	1343.746185
39	1337.072225
40	1334.263569
41	1330.437497
42	1326.928936
43	1324.328768
44	1322.178642
45	1319.823223
46	1316.529497
47	1314.873315
48	1312.881884
49	1306.802223
50	1300.221309
51	1297.105551
52	1294.210996
53	1292.753179
54	1289.610624
55	1287.784381
56	1283.022577
57	1281.218504
58	1276.230382
59	1274.928408
60	1272.966626
61	1270.239334
62	1267.317403
63	1263.226662
64	1262.008654
65	1260.519519
66	1259.143757
67	1256.366495
68	1252.109475
69	1250.345731
70	1248.910236
71	1247.61691
72	1242.794041
73	1239.510964
74	1237.760464
75	1235.948359
76	1232.250794
77	1230.77478
78	1229.394858
79	1227.389995
80	1224.789402
81	1223.39783
82	1221.851413
83	1220.439457
84	1216.74582
85	1215.52918
86	1214.33827
87	1213.2124
88	1212.050839
89	1208.554377
90	1207.27977
91	1206.282733
92	1203.208042
93	1201.027459
94	1199.874737
95	1196.736863
96	1194.527614
97	1189.663432
98	1188.654596
99	1187.118795
100	1183.734056
101	1182.693012
102	1180.849861
103	1179.866088
104	1177.28498
105	1176.44303
106	1174.303829
107	1172.234463
108	1170.143684
109	1169.315022
110	1168.542133
111	1166.03984
112	1164.050455
113	1163.316908
114	1162.619377
115	1161.506769
116	1160.759407
117	1159.105766
118	1156.135539
119	1155.509389
120	1154.829521
121	1153.301517
122	1149.609583
123	1148.608817
124	1147.289743
125	1146.393516
126	1143.842872
127	1141.699517
128	1140.17557
129	1139.337231
130	1137.983334
131	1137.417002
132	1136.660618
133	1135.307221
134	1134.78803
135	1133.231975
136	1131.907569
137	1131.287843
138	1128.2657
139	1125.280997
140	1123.480898
141	1122.999781
142	1121.850285
143	1120.270097
144	1118.320142
145	1117.860954
146	1115.854547
147	1114.755573
148	1114.318369
149	1113.307047
150	1112.298385
151	1110.756332
152	1110.338787
153	1109.974048
154	1108.461304
155	1107.341988
156	1106.396765
157	1106.017729
158	1105.657538
159	1104.512741
160	1104.120919
161	1103.363663
162	1101.838764
163	1101.018599
164	1100.003089
165	1099.279288
166	1098.336508
167	1097.398496
168	1097.048646
169	1096.726913
170	1095.411293
171	1094.514584
172	1093.406554
173	1092.524466
174	1091.880789
175	1091.119888
176	1089.671078
177	1089.357626
178	1089.055231
179	1087.949673
180	1087.037865
181	1086.321861
182	1085.943952
183	1084.062522
184	1083.266021
185	1082.555669
186	1082.258937
187	1081.301418
188	1080.448405
189	1079.857354
190	1079.580026
191	1079.099076
192	1078.400095
193	1078.052085
194	1077.266883
195	1076.421044
196	1076.158073
197	1075.25658
198	1075.00281
199	1074.427319
