iter	Passed	Remaining
0	1	253
1	2	231
2	3	221
3	6	311
4	8	343
5	10	347
6	13	359
7	14	356
8	17	363
9	19	364
10	21	363
11	23	362
12	25	362
13	27	364
14	29	362
15	31	361
16	33	358
17	35	354
18	36	351
19	38	349
20	40	347
21	42	344
22	44	341
23	46	338
24	47	335
25	49	331
26	51	328
27	53	327
28	55	325
29	57	323
30	58	320
31	60	319
32	62	317
33	64	315
34	66	311
35	67	309
36	69	307
37	71	304
38	73	302
39	75	300
40	77	299
41	79	297
42	80	295
43	82	292
44	84	289
45	86	287
46	87	286
47	90	285
48	91	282
49	93	280
50	95	278
51	97	277
52	99	275
53	101	273
54	103	271
55	104	269
56	106	267
57	108	265
58	110	263
59	111	261
60	113	259
61	115	257
62	117	255
63	119	253
64	121	252
65	123	250
66	125	248
67	126	246
68	128	244
69	130	242
70	132	240
71	134	239
72	136	237
73	138	235
74	140	233
75	142	232
76	144	230
77	145	228
78	147	226
79	149	224
80	151	222
81	153	221
82	155	218
83	157	216
84	159	215
85	160	213
86	162	211
87	164	209
88	166	207
89	168	205
90	169	203
91	171	201
92	173	199
93	175	197
94	177	196
95	179	194
96	181	192
97	182	190
98	184	188
99	186	186
100	188	185
101	190	182
102	192	181
103	194	179
104	196	177
105	197	175
106	199	173
107	201	171
108	203	169
109	205	168
110	207	166
111	209	164
112	210	162
113	212	160
114	214	158
115	215	156
116	217	154
117	219	152
118	221	150
119	223	148
120	225	147
121	227	145
122	229	143
123	231	141
124	233	140
125	235	138
126	236	136
127	238	134
128	240	132
129	242	130
130	244	128
131	245	126
132	247	124
133	249	122
134	251	120
135	253	119
136	254	117
137	256	115
138	258	113
139	260	111
140	262	109
141	264	108
142	266	106
143	268	104
144	270	102
145	272	100
146	274	99
147	276	97
148	278	95
149	280	93
150	282	91
151	284	89
152	286	87
153	288	86
154	289	84
155	291	82
156	293	80
157	295	78
158	297	76
159	298	74
160	301	72
161	302	71
162	304	69
163	306	67
164	308	65
165	310	63
166	312	61
167	314	59
168	316	58
169	318	56
170	320	54
171	321	52
172	323	50
173	325	48
174	327	46
175	329	44
176	331	43
177	333	41
178	335	39
179	337	37
180	339	35
181	341	33
182	342	31
183	344	29
184	346	28
185	348	26
186	350	24
187	352	22
188	354	20
189	356	18
190	357	16
191	359	14
192	361	13
193	363	11
194	365	9
195	367	7
196	369	5
197	371	3
198	372	1
199	374	0
